Name,contents,Course,Title,"Lesson 1-result","Lesson 1-date and time"
kjsstudent1,Video,"Lesson 1",V-2.1.3,0%,"0000-00-00 00:00:00"
kjsstudent1,Video,"Lesson 1",V-2.1.2,0%,"2020-01-03 08:33:04"
kjsstudent1,Video,"Lesson 1",V-2.1.1,0%,"2020-01-03 08:30:04"
kjsstudent1,quiz,"Lesson 1",-,-,-
kjsstudent1,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
kjsstudent1,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
kjsstudent1,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
kjsstudent1,report,"Lesson 1",-,-,-
kjsstudent2,Video,"Lesson 1",V-2.1.3,0%,"0000-00-00 00:00:00"
kjsstudent2,Video,"Lesson 1",V-2.1.2,0%,"2020-01-06 12:22:05"
kjsstudent2,Video,"Lesson 1",V-2.1.1,0%,"2020-01-06 11:59:56"
kjsstudent2,quiz,"Lesson 1",-,-,-
kjsstudent2,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
kjsstudent2,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
kjsstudent2,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
kjsstudent2,report,"Lesson 1",-,-,-
tanjil,Video,"Lesson 1",V-2.1.3,0%,"0000-00-00 00:00:00"
tanjil,Video,"Lesson 1",V-2.1.2,0%,"0000-00-00 00:00:00"
tanjil,Video,"Lesson 1",V-2.1.1,0%,"0000-00-00 00:00:00"
tanjil,quiz,"Lesson 1",-,-,-
tanjil,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
tanjil,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
tanjil,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
tanjil,report,"Lesson 1",-,-,-
Arivu,Video,"Lesson 1",V-2.1.3,20%,"2019-12-27 09:39:08"
Arivu,Video,"Lesson 1",V-2.1.2,20%,"2019-12-27 09:39:35"
Arivu,Video,"Lesson 1",V-2.1.1,100%,"2019-12-14 07:10:42"
Arivu,quiz,"Lesson 1",-,-,-
Arivu,questionnaire,"Lesson 1",Questionnaire,○,"2019-12-27 03:39:21"
Arivu,questionnaire,"Lesson 1",Questionnaire,○,"2019-12-27 03:39:52"
Arivu,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
Arivu,report,"Lesson 1",-,-,-
ts1,Video,"Lesson 1",V-2.1.3,20%,"2019-12-27 09:43:18"
ts1,Video,"Lesson 1",V-2.1.2,20%,"2019-12-27 09:43:45"
ts1,Video,"Lesson 1",V-2.1.1,0%,"2019-12-27 09:41:57"
ts1,quiz,"Lesson 1",-,-,-
ts1,questionnaire,"Lesson 1",Questionnaire,○,"2019-12-27 03:43:01"
ts1,questionnaire,"Lesson 1",Questionnaire,○,"2019-12-27 03:44:19"
ts1,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
ts1,report,"Lesson 1",-,-,-
ts2,Video,"Lesson 1",V-2.1.3,0%,"0000-00-00 00:00:00"
ts2,Video,"Lesson 1",V-2.1.2,0%,"0000-00-00 00:00:00"
ts2,Video,"Lesson 1",V-2.1.1,10%,"2019-12-26 11:18:03"
ts2,quiz,"Lesson 1",-,-,-
ts2,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
ts2,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
ts2,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
ts2,report,"Lesson 1",-,-,-
ts3,Video,"Lesson 1",V-2.1.3,0%,"0000-00-00 00:00:00"
ts3,Video,"Lesson 1",V-2.1.2,0%,"0000-00-00 00:00:00"
ts3,Video,"Lesson 1",V-2.1.1,0%,"0000-00-00 00:00:00"
ts3,quiz,"Lesson 1",-,-,-
ts3,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
ts3,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
ts3,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
ts3,report,"Lesson 1",-,-,-
説明用,Video,"Lesson 1",V-2.1.3,0%,"0000-00-00 00:00:00"
説明用,Video,"Lesson 1",V-2.1.2,0%,"2020-01-06 14:29:04"
説明用,Video,"Lesson 1",V-2.1.1,0%,"2020-01-06 14:29:28"
説明用,quiz,"Lesson 1",-,-,-
説明用,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
説明用,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
説明用,questionnaire,"Lesson 1",Questionnaire,○,"2020-01-06 08:29:48"
説明用,report,"Lesson 1",-,-,-
