Name,contents,Course,Title,"Lesson 1-result","Lesson 1-date and time"
kjsstudent1,Video,"Lesson 1",V-3.1.2,0%,"0000-00-00 00:00:00"
kjsstudent1,Video,"Lesson 1",V-3.1.1,80%,"2019-12-26 13:50:49"
kjsstudent1,quiz,"Lesson 1",-,-,-
kjsstudent1,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
kjsstudent1,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
kjsstudent1,report,"Lesson 1",-,-,-
kjsstudent2,Video,"Lesson 1",V-3.1.2,0%,"0000-00-00 00:00:00"
kjsstudent2,Video,"Lesson 1",V-3.1.1,0%,"2020-01-06 11:54:55"
kjsstudent2,quiz,"Lesson 1",-,-,-
kjsstudent2,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
kjsstudent2,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
kjsstudent2,report,"Lesson 1",-,-,-
tanjil,Video,"Lesson 1",V-3.1.2,0%,"0000-00-00 00:00:00"
tanjil,Video,"Lesson 1",V-3.1.1,0%,"2020-01-06 10:43:08"
tanjil,quiz,"Lesson 1",-,-,-
tanjil,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
tanjil,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
tanjil,report,"Lesson 1",-,-,-
Arivu,Video,"Lesson 1",V-3.1.2,0%,"2019-12-14 07:15:28"
Arivu,Video,"Lesson 1",V-3.1.1,10%,"2019-12-27 07:57:43"
Arivu,quiz,"Lesson 1",-,-,-
Arivu,questionnaire,"Lesson 1",Questionnaire,○,"2019-12-27 01:57:54"
Arivu,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
Arivu,report,"Lesson 1",-,-,-
ts1,Video,"Lesson 1",V-3.1.2,0%,"0000-00-00 00:00:00"
ts1,Video,"Lesson 1",V-3.1.1,0%,"0000-00-00 00:00:00"
ts1,quiz,"Lesson 1",-,-,-
ts1,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
ts1,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
ts1,report,"Lesson 1",-,-,-
ts2,Video,"Lesson 1",V-3.1.2,10%,"2019-12-26 11:36:06"
ts2,Video,"Lesson 1",V-3.1.1,10%,"2019-12-26 11:35:57"
ts2,quiz,"Lesson 1",-,-,-
ts2,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
ts2,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
ts2,report,"Lesson 1",-,-,-
ts3,Video,"Lesson 1",V-3.1.2,0%,"2019-12-27 12:00:07"
ts3,Video,"Lesson 1",V-3.1.1,0%,"2019-12-27 11:59:57"
ts3,quiz,"Lesson 1",-,-,-
ts3,questionnaire,"Lesson 1",Questionnaire,○,"2019-12-27 01:39:29"
ts3,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
ts3,report,"Lesson 1",-,-,-
説明用,Video,"Lesson 1",V-3.1.2,0%,"0000-00-00 00:00:00"
説明用,Video,"Lesson 1",V-3.1.1,0%,"0000-00-00 00:00:00"
説明用,quiz,"Lesson 1",-,-,-
説明用,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
説明用,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
説明用,report,"Lesson 1",-,-,-
