Name,contents,Course,Title,"Lesson 1-result","Lesson 1-date and time"
kjsstudent1,Video,"Lesson 1",V-1.1.4,10%,"2020-01-06 12:49:04"
kjsstudent1,Video,"Lesson 1",V-1.1.3,0%,"2019-12-17 08:31:40"
kjsstudent1,Video,"Lesson 1",V-1.1.2,100%,"2020-01-06 12:49:20"
kjsstudent1,Video,"Lesson 1",V-1.1.1,10%,"2020-01-06 13:55:56"
kjsstudent1,quiz,"Lesson 1",-,-,-
kjsstudent1,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
kjsstudent1,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
kjsstudent1,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
kjsstudent1,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
kjsstudent1,report,"Lesson 1",-,-,-
kjsstudent2,Video,"Lesson 1",V-1.1.4,0%,"0000-00-00 00:00:00"
kjsstudent2,Video,"Lesson 1",V-1.1.3,0%,"0000-00-00 00:00:00"
kjsstudent2,Video,"Lesson 1",V-1.1.2,0%,"2020-01-06 12:52:04"
kjsstudent2,Video,"Lesson 1",V-1.1.1,0%,"2020-01-06 12:51:51"
kjsstudent2,quiz,"Lesson 1",-,-,-
kjsstudent2,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
kjsstudent2,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
kjsstudent2,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
kjsstudent2,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
kjsstudent2,report,"Lesson 1",-,-,-
tanjil,Video,"Lesson 1",V-1.1.4,0%,"0000-00-00 00:00:00"
tanjil,Video,"Lesson 1",V-1.1.3,0%,"0000-00-00 00:00:00"
tanjil,Video,"Lesson 1",V-1.1.2,0%,"0000-00-00 00:00:00"
tanjil,Video,"Lesson 1",V-1.1.1,0%,"0000-00-00 00:00:00"
tanjil,quiz,"Lesson 1",-,-,-
tanjil,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
tanjil,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
tanjil,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
tanjil,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
tanjil,report,"Lesson 1",-,-,-
Arivu,Video,"Lesson 1",V-1.1.4,0%,"0000-00-00 00:00:00"
Arivu,Video,"Lesson 1",V-1.1.3,0%,"0000-00-00 00:00:00"
Arivu,Video,"Lesson 1",V-1.1.2,0%,"0000-00-00 00:00:00"
