Name,contents,Course,Title,"Lesson 1-result","Lesson 1-date and time"
kjsstudent1,Video,"Lesson 1",V-4.1.3,0%,"0000-00-00 00:00:00"
kjsstudent1,Video,"Lesson 1",V-4.1.2,50%,"2019-12-26 11:12:32"
kjsstudent1,Video,"Lesson 1",V-4.1.1,10%,"2019-12-26 11:12:12"
kjsstudent1,quiz,"Lesson 1",-,-,-
kjsstudent1,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
kjsstudent1,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
kjsstudent1,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
kjsstudent1,report,"Lesson 1",-,-,-
kjsstudent2,Video,"Lesson 1",V-4.1.3,0%,"0000-00-00 00:00:00"
kjsstudent2,Video,"Lesson 1",V-4.1.2,0%,"0000-00-00 00:00:00"
kjsstudent2,Video,"Lesson 1",V-4.1.1,0%,"0000-00-00 00:00:00"
kjsstudent2,quiz,"Lesson 1",-,-,-
kjsstudent2,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
kjsstudent2,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
kjsstudent2,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
kjsstudent2,report,"Lesson 1",-,-,-
tanjil,Video,"Lesson 1",V-4.1.3,0%,"0000-00-00 00:00:00"
tanjil,Video,"Lesson 1",V-4.1.2,0%,"2019-12-26 10:43:56"
tanjil,Video,"Lesson 1",V-4.1.1,0%,"2020-01-06 12:37:57"
tanjil,quiz,"Lesson 1",-,-,-
tanjil,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
tanjil,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
tanjil,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
tanjil,report,"Lesson 1",-,-,-
Arivu,Video,"Lesson 1",V-4.1.3,20%,"2019-12-27 09:40:57"
Arivu,Video,"Lesson 1",V-4.1.2,20%,"2019-12-27 09:40:33"
Arivu,Video,"Lesson 1",V-4.1.1,20%,"2019-12-27 09:40:10"
Arivu,quiz,"Lesson 1",-,-,-
Arivu,questionnaire,"Lesson 1",Questionnaire,○,"2019-12-27 03:40:21"
Arivu,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
Arivu,questionnaire,"Lesson 1",Questionnaire,○,"2019-12-27 03:41:09"
Arivu,report,"Lesson 1",-,-,-
ts1,Video,"Lesson 1",V-4.1.3,0%,"0000-00-00 00:00:00"
ts1,Video,"Lesson 1",V-4.1.2,0%,"0000-00-00 00:00:00"
ts1,Video,"Lesson 1",V-4.1.1,0%,"0000-00-00 00:00:00"
ts1,quiz,"Lesson 1",-,-,-
ts1,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
ts1,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
ts1,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
ts1,report,"Lesson 1",-,-,-
ts2,Video,"Lesson 1",V-4.1.3,0%,"0000-00-00 00:00:00"
ts2,Video,"Lesson 1",V-4.1.2,0%,"0000-00-00 00:00:00"
ts2,Video,"Lesson 1",V-4.1.1,0%,"0000-00-00 00:00:00"
ts2,quiz,"Lesson 1",-,-,-
ts2,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
ts2,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
ts2,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
ts2,report,"Lesson 1",-,-,-
ts3,Video,"Lesson 1",V-4.1.3,0%,"0000-00-00 00:00:00"
ts3,Video,"Lesson 1",V-4.1.2,0%,"0000-00-00 00:00:00"
ts3,Video,"Lesson 1",V-4.1.1,0%,"0000-00-00 00:00:00"
ts3,quiz,"Lesson 1",-,-,-
ts3,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
ts3,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
ts3,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
ts3,report,"Lesson 1",-,-,-
説明用,Video,"Lesson 1",V-4.1.3,0%,"0000-00-00 00:00:00"
説明用,Video,"Lesson 1",V-4.1.2,0%,"0000-00-00 00:00:00"
説明用,Video,"Lesson 1",V-4.1.1,0%,"0000-00-00 00:00:00"
説明用,quiz,"Lesson 1",-,-,-
説明用,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
説明用,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
説明用,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00"
説明用,report,"Lesson 1",-,-,-
